Input,Output,model,dataset
145,2,google/flan-t5-base,squad
145,2,google/flan-t5-base,squad
142,2,google/flan-t5-base,squad
142,2,google/flan-t5-base,squad
148,1,google/flan-t5-base,squad
143,2,google/flan-t5-base,squad
142,3,google/flan-t5-base,squad
141,3,google/flan-t5-base,squad
143,2,google/flan-t5-base,squad
140,3,google/flan-t5-base,squad
143,3,google/flan-t5-base,squad
140,2,google/flan-t5-base,squad
144,2,google/flan-t5-base,squad
144,2,google/flan-t5-base,squad
148,3,google/flan-t5-base,squad
145,1,google/flan-t5-base,squad
150,1,google/flan-t5-base,squad
144,2,google/flan-t5-base,squad
144,2,google/flan-t5-base,squad
145,1,google/flan-t5-base,squad
147,1,google/flan-t5-base,squad
141,1,google/flan-t5-base,squad
141,2,google/flan-t5-base,squad
141,2,google/flan-t5-base,squad
140,2,google/flan-t5-base,squad
145,1,google/flan-t5-base,squad
141,2,google/flan-t5-base,squad
141,2,google/flan-t5-base,squad
143,3,google/flan-t5-base,squad
143,2,google/flan-t5-base,squad
126,2,google/flan-t5-base,squad
129,1,google/flan-t5-base,squad
125,1,google/flan-t5-base,squad
123,2,google/flan-t5-base,squad
128,3,google/flan-t5-base,squad
127,2,google/flan-t5-base,squad
126,3,google/flan-t5-base,squad
124,3,google/flan-t5-base,squad
128,1,google/flan-t5-base,squad
123,2,google/flan-t5-base,squad
132,1,google/flan-t5-base,squad
131,2,google/flan-t5-base,squad
131,1,google/flan-t5-base,squad
128,1,google/flan-t5-base,squad
135,1,google/flan-t5-base,squad
124,2,google/flan-t5-base,squad
126,2,google/flan-t5-base,squad
128,1,google/flan-t5-base,squad
125,3,google/flan-t5-base,squad
128,2,google/flan-t5-base,squad
127,3,google/flan-t5-base,squad
129,2,google/flan-t5-base,squad
123,2,google/flan-t5-base,squad
127,2,google/flan-t5-base,squad
124,1,google/flan-t5-base,squad
76,2,google/flan-t5-base,squad
80,1,google/flan-t5-base,squad
79,1,google/flan-t5-base,squad
77,2,google/flan-t5-base,squad
81,1,google/flan-t5-base,squad
75,1,google/flan-t5-base,squad
76,1,google/flan-t5-base,squad
75,2,google/flan-t5-base,squad
76,1,google/flan-t5-base,squad
