Input,Output,model,dataset
130,1,google/flan-t5-base,Squad_2_
130,4,google/flan-t5-base,Squad_2_
131,4,google/flan-t5-base,Squad_2_
129,1,google/flan-t5-base,Squad_2_
134,1,google/flan-t5-base,Squad_2_
135,2,google/flan-t5-base,Squad_2_
130,1,google/flan-t5-base,Squad_2_
132,2,google/flan-t5-base,Squad_2_
130,6,google/flan-t5-base,Squad_2_
246,3,google/flan-t5-base,Squad_2_
243,2,google/flan-t5-base,Squad_2_
242,1,google/flan-t5-base,Squad_2_
250,4,google/flan-t5-base,Squad_2_
244,2,google/flan-t5-base,Squad_2_
242,2,google/flan-t5-base,Squad_2_
243,2,google/flan-t5-base,Squad_2_
244,3,google/flan-t5-base,Squad_2_
69,2,google/flan-t5-base,Squad_2_
71,2,google/flan-t5-base,Squad_2_
68,1,google/flan-t5-base,Squad_2_
71,2,google/flan-t5-base,Squad_2_
171,1,google/flan-t5-base,Squad_2_
173,6,google/flan-t5-base,Squad_2_
170,1,google/flan-t5-base,Squad_2_
172,2,google/flan-t5-base,Squad_2_
172,1,google/flan-t5-base,Squad_2_
175,1,google/flan-t5-base,Squad_2_
176,2,google/flan-t5-base,Squad_2_
123,1,google/flan-t5-base,Squad_2_
120,1,google/flan-t5-base,Squad_2_
119,1,google/flan-t5-base,Squad_2_
98,1,google/flan-t5-base,Squad_2_
101,1,google/flan-t5-base,Squad_2_
100,2,google/flan-t5-base,Squad_2_
101,6,google/flan-t5-base,Squad_2_
99,1,google/flan-t5-base,Squad_2_
118,2,google/flan-t5-base,Squad_2_
118,4,google/flan-t5-base,Squad_2_
118,2,google/flan-t5-base,Squad_2_
117,1,google/flan-t5-base,Squad_2_
140,1,google/flan-t5-base,Squad_2_
135,1,google/flan-t5-base,Squad_2_
134,1,google/flan-t5-base,Squad_2_
137,1,google/flan-t5-base,Squad_2_
136,2,google/flan-t5-base,Squad_2_
110,1,google/flan-t5-base,Squad_2_
111,1,google/flan-t5-base,Squad_2_
112,2,google/flan-t5-base,Squad_2_
113,2,google/flan-t5-base,Squad_2_
110,1,google/flan-t5-base,Squad_2_
111,3,google/flan-t5-base,Squad_2_
110,1,google/flan-t5-base,Squad_2_
143,1,google/flan-t5-base,Squad_2_
146,1,google/flan-t5-base,Squad_2_
144,2,google/flan-t5-base,Squad_2_
145,2,google/flan-t5-base,Squad_2_
143,2,google/flan-t5-base,Squad_2_
140,1,google/flan-t5-base,Squad_2_
141,8,google/flan-t5-base,Squad_2_
87,1,google/flan-t5-base,Squad_2_
87,2,google/flan-t5-base,Squad_2_
89,2,google/flan-t5-base,Squad_2_
89,2,google/flan-t5-base,Squad_2_
300,2,google/flan-t5-base,Squad_2_
297,2,google/flan-t5-base,Squad_2_
297,2,google/flan-t5-base,Squad_2_
298,2,google/flan-t5-base,Squad_2_
295,2,google/flan-t5-base,Squad_2_
299,1,google/flan-t5-base,Squad_2_
297,2,google/flan-t5-base,Squad_2_
140,1,google/flan-t5-base,Squad_2_
134,1,google/flan-t5-base,Squad_2_
136,1,google/flan-t5-base,Squad_2_
139,1,google/flan-t5-base,Squad_2_
138,1,google/flan-t5-base,Squad_2_
134,1,google/flan-t5-base,Squad_2_
64,1,google/flan-t5-base,Squad_2_
64,1,google/flan-t5-base,Squad_2_
62,2,google/flan-t5-base,Squad_2_
65,2,google/flan-t5-base,Squad_2_
62,3,google/flan-t5-base,Squad_2_
65,1,google/flan-t5-base,Squad_2_
121,5,google/flan-t5-base,Squad_2_
